text,sentiment
ደሜ ጀግናው በርታ,Positive
ደመቀ ምርጥ ሰው,Positive
አጎቴ ደሜ ጀግናው,Positive
ጀግናውውው ሰራህላትት ህውሀት ጥንቸልዋን,Neutral
ደሜ ጀግና ምርጥ ፓለቲከኛ ጀግና የህዋሃት መዳሀኒት,Positive
በሳልና እና የተረጋጋ ውድ መሪያችን ።,Positive
አቶ ደመቀ አንዱ የለዉጡ ሐዋሪያ።,Positive
ደመቀ ጀግና የኢትዮጵያ ልጅነህ,Positive
ምርጥ ሠው ነው ደመቀ ወሬ አይወድም ማንም ጠቅላይ ሚኒሥቴር ያለሡ አይሆንላቸውም,Positive
አጃኢብ ነው ኢንጃነር በእውነት ይሔ የርሶ ሀሳብ ከሆነ እስከዛሬ የት ነበሩ??,Positive
እግዚአብሔር ይባርክህ,Positive
ድንቅ ሥራ ነዉ! ታኬ,Positive
ጀግና መሪ በረታ በጣም ደስ ይላል ሁለ ጊዜ አዲስ ሀሳብ አዲስ ራዕይ፡፡,Positive
በርታልን 'ታኬ',Positive
ታኬ ሀቢቢ በርታ,
ታኬ ጀግናው በርታልን በጣም አሪፍ የስራ ፈጠራ ነው,Positive
መልካም ሥራ በርታልን ታኬ ጀግናው,Positive
ዋው ዘመንህ ይባረክ ተባረክ,Positive
ቃል የለንም አቶ ታከለ ታስፈልገናለህ አንተ የፖለቲካ ሰው አይደለህም አንተ የድሀ አባት ነህ በእኔ አስተያየት የሚተካህ ኖሮም አያውቅም አይመጣምም በርታ ለሀገር ታሪክ ስራና እለፍ መቼም ማለፍ አይቀርም አንዳንድ ያልገባቸው ቢተቹህ የገባቸውን ብዛት አስብ እነሱም ይገባቸዋል,Positive
እጅ ነስተናል ኢንጅነር ታከለ ኡማ እንዳንተ አይነቱን ያብዛልን,Positive
ደስ ይለል አገሪቱ የምትፈልገው እንዲህ አይነት ጀግኖችን ነው ፤እግዚአብሔር ይበርካው።,Positive
ኢ/ር ማለት እንደዚ ነዉ ይመችህ,Positive
ታኬ በርታልን በስራ ማሳየት ማለት ይሄ ነው አትችልም ላሉክ ሁሉ,Positive
ታታሪ መሪ ፈጠር ዕድሜ ይስጥህ።,Positive
ታኬ በርታ ባለውለታዬ መቼም አንረሳህም,Positive
እግዚአብሔር እድሜና ጤና ይስጥህ ታኬ ምርጥ ሰው,Positive
እድሜና ጤና ይስጥልን ታኬ ኬኛ እናመሰግናለን,Positive
አንተን አለመውደድ አይቻልም ረጅም እድሜና ጤና ለከንቲባችን,Positive
ታኬ ምርጥ የ ዓመቱ መሪ,Positive
በጣም ጥሩ ነው በርታ ታከለ,Positive
በርታ የኔ ጀግና ጥሩ ስራ ነው።,Positive
በጣም ጎበዝ እድሜና ጤና ይስጥክ,Positive
በርታ በጣም ጎበዝ,Positive
ድል ለእናት አገሬ ኢትዮጺዬ,Positive
ውብ ሀገር!! ውብ ሕዝብ!! ውብ ባህል!! ዋው ደስ ስል!!ሠላምና ፍቅር ለሀገራችን ፤ እግዚአብሔር ኢትዮጵያና ሕዝቦቿን ይባርክ!!! አሜን!!!!!,Positive
አቢቹ! ብራቮ! በርታ ::,Positive
ደፂ አባቴ ዉስጤ ነህ,Positive
ኑርልን የኛ ጀግና,Positive
ኬርያ ኢብራሂም ፡ የኛ ጀግና,Positive
እከካም በየ ቦታው የወደቀዉ ተማሪማ አይታይም,Negative
መልካም ስራ! መልካም ተሞክሮ! ,Positive
ከዚህ ለፍቶ አዳሪ ህዝብ መፈጠር መታደል ነው።,Positive
አሸባሪ ሚዳዎች ጥቁር መዝገብ,Negative
ይህ የሚደነቅ ተግባር ነወ,Positive
የኔ ምርጥ ናችሁ እሽ ቀጥሉበት,Positive
ልባም አንበሳ ነሽ በርቺ ለእኛ ለሴቶች ትልቅ አርአያ ትሆኛለሽ እግዚያብሔርም ይርዳሽ,Positive
እናመሰግኖታለ የኢት ኩራት,Positive
ክቡር የኢት/ያ ኩራት ጀግና፡የተረጋጋ፡ሀቀኛ፡ከሩ፡ባለወጥ አቋም፡የእውቀት አባት፡ለግዋደኛ ና ህዝብ የሚሞት በአጠቃላይ ለመግለፅ ቃላት የሚያጥረኝ አቶ ገዱ አንድአርጋቸው የተናገሩትን ሁሉም ባለድርሻ ፍፁም በማመን ወደ ተግባር መግባት አለበት የሚል እምነት አለኝ፡፡,Positive
ማሸአለህ አለህ ይጨምረለቹ,Positive
እንድህ ነው ታመር መላት ታምሮ ምያስታምር ባርቱ ወራቤ ላሁሉም ትምህርት ነው ቃጥሉባት,Positive
በጣም ደስ የሚል ስራ ማሻአላህ,Positive
ጎበዞች ተባረኩ እንዲህ ነው የሚምርባቹ ,Positive
ሺህ ዓመት ንገስ,Positive
ምርጥ ና ምርጡ መሪያችን,Positive
ብራቮ,Positive
ጀግና የጀግና ዘር,Positive
እኛም ከሰው ሀገር ተርታ ልንሰለፉ ነዉ ማለት ነው ለልጀቻችን መጫወቻ ቦታ ለኛም ንፁህ ሀየር እየሳብን መንፈሳችን የምናድስበት እግዚአብሔር አምላክ እድሜና ጤና ይስጥህ,Positive
ሳንጅዬ ውስጤ ነው፤ይገባዋል።,Positive
ዋው በጣም ደሰ ይላል ,Positive
ዉዉዋ ሳንጅዬ ጀግና የኢትዬጵያ ኣርማ እንኳን ደስስስስስስስስስ ኣለን PositiveNeutralNeutral% ይገቧል 7Neutral.,Positive
መቶ ሚሊዮን ጊዜ መርጬካለው,Positive
ይሄ ስራ በጣም በጣም የሚያኮራ ነው::,Positive
እናመሰግናለን ምርጡ መሪያችን,Positive
ሺ አመት ንገስ ከ ክፉ ነገር ሁሉ ይጠብቅህ,Positive
አቢቹ ጀግና እኮ ነህ ,Positive
ጎበዝ አብያችን,Positive
የሰለጠነ መሪ አያሳጣን! አሜን በሉ:: :) አብቹ በአንተ ዘመን በመገኘቴ እድለኛ ነኝ:: ክስተት ነህ!,Positive
አንተ ንጉስ ነህ ሁሌ ንገስ አላህ ሂዳ ይሰጥህ,Positive
አብቹ የአይኔ ብሌን ነክ ኩራታችን,Positive
አብቹየኛጀግናአላህይጠብቅህ,Positive
ይሄን ሰው አላመድነቅ አይቻልም ረጅም እድሜ ና ጤና ተመኞውልህ ከንቲባዬ,Positive
ጀግኖች ዕደዚነው,Positive
ከንቲባችንን ክፉ አይንካብን,Positive
ሞዴል ከንቲባችን ነህ,Positive
ታኬ የአብቹን መልካም ገፀባህር የወረስክ መልካም ከኒቲባ ጎበዝ በርታ ..!!!,Positive
ይሄ ነው ከንቲባዬ፡፡,Positive
ተባረክ! እውነተኛ የደሀ አባት ነህ,Positive
ተማሪውቹ ሲያምሩ ኦፍፍፍፍ ። ታኬ የኔ እንደኛ ።,Positive
አራደው ታኬ,Positive
አውንም ነገም እጅክ እጅክ እናመሰግናለን ኢንጅነር ታከለ :!! ለሰሩት መልካም ነገር እገዛብሄር ይክፈል ኢትዮጵያ እንዳንቱ መልካም ቅን አሳቢ ያብዛልን ።,Neutral
የሰዉ ልጅ ስራ ይሰራል የሰዉ ልጅ ያልሆነ የሚሰራዉን ይዘልፈዋል ኢንጂነር ታኬ ሁሌም ለ ሸገር የሚተጋ ድንቅ ከንቲባ !!,Positive
ጀግና ! ጀግና ! በሚታይ ስራ ነው የምናምነው እኛ እንደዚ ።,Positive
ጀግና ነኪ በርታ,Positive
ኢ/ ታኬ እንዲህ ያሉ ተግባህርን እንዴት እንደምወደው እንደማከብረው !።,Positive
ስለአንተ ስሰማ ስለአንተ ሳነብ ከጀርባ ብዙ መቶ ሺህ ህጻናት ይታዩኛል ከዛም ዓይኔ በደስታ እምባ ያቀራል።,Neutral
የምንግዜ ምርጥ መሪ ታኬ መኛ የለውጥ አመረር,Positive
ታኬ የስራ ሰው በርታልን ።,Positive
ከልብ ለገሩ የሚሰራ ሙሁር እንጂነር ታከለ ብቻነው,Positive
ምርጥ ሠው,Positive
በወርቅ የምፃፍ ታሪክ ሰርተሃልና ልትኮራ ይገባል።,Positive
ክቢእሪ ለታከለ ሁማ እዲሜና ጤና እሲጥ ወዲሜ,Positive
ተኬ ከልቡ መሪ ነው ,Positive
በወሬ ሳይሆን በስራ ያስመሰከረ የዘመናችን ምርጡ ከንቲባ! ታኬ ክበርልኝ,Positive
ሀይሌ ሲፎግረን ነው ይቻላል ያለን… የማንችላቸው ፣ የኛ ያልሆኑ ብዙ ነገሮች እንዳሉ ማመን አለብን። እሱ ራሱ ፖለቲካውን መች ቻለው። አይ የምትለኝ እንደሆን በርታ ፈጣሪህን እያማረርክ ትኖራታለህ። ,Neutral
መድረክ በኛ ጠቅላ ጉባዔው ኢሕአዴግ አገሪቱን እየመራ ያለው በማን አለብኝነትና በጉልበት አለ,Neutral
በኤኢሳ ዋን ላይ መሳተፍ በወገናችን እልቂት መቀለድ ነው ኢትዮጵያዊ ክብርና ሞገሳችን ገፈው ህዝባችን ጥሪቱን አሟጠው በንቀት እየተጫወቱ ያሉት ,
አለመግባቱን ከመራጮቹ እና ከመስፈርቱ ሆኖ ሳለ ከአትሌቶቹ ጋር በጋራ መግለጫ እንዲሰጥ ማድረግ በአትሌቶች መኸል ቅራኔ በመፍጠር ራስን ለማሸሽ በፌዴሬሽን በኩል የተሸረበች ሴራ ነች፡ ,Positive
መቀለሰላማዊሰልፍ በመጪው ዕድላችን ቁማር በሚጫወቱ ፀረህዝብ ሃይሎች ሴራ አንምበረከክም ,Neutral
መኖር ግን እንዴት ይሰለቻል ,Neutral
አዲስ አበባ ለመጀሪያ ጊዜ ወደ አፍሪካ ዋንጫ የተቀላለችው ጊኒቢሳው ያልተገባ ተጨዋች አሰልፋለች በማለት ክስ ቀርቦባታል። ,Positive
ጓደኞቼ ግን በጣም ታዘብኳችሁ አንድ ሰው እንኮ ፍጡር ዛሬ ከኔ ጋር ናችሁ የሚል ይጠፋል ,Neutral
ጎንደር በወያኔና በሕዝቡ መካከል ውጥረቱ አሁንም ቀጥሏል፥ ደቡብ ጎንደር ደብረታቦርና ጋይንት ጉና ዓካባቢ የሰነበተው ጦርነት,Neutral
እጃቸው በደም የጨቀየ ወንጀለኞች ሲኮበልሉ ዝም ብሎ መመልከት አሳፋሪ ግዑዝነት ነው። ያልፈረማችሁ ፈርሙ ፤ የፈረማችሁ ላልፈረሙ አሳውቁ ,Negative
“በእስር ቤት የደረሰብኝ ግፍ ከባድ ነው… ጤናዬን ለመለስ ለተደረገልኝ ሁሉ አመሰግናለሁ የሃብታሙ አያሌው ልብ የሚነካ,Neutral
አትሌቶች በአዲስ አበባ ስታዲዮም ተቃውሟቸውን አሰሙ የኢትዮጵያ አትሌቲክስ አደጋ ላይ ነው ,Negative
የማያውቁ የተሰባቡበት ፓርላማ አፋኙን የኮምፒውተር ወንጀል አዋጅ ዛሬ ያፀድቃል። ተጨማሪ አፈና አዲስ በሚመስል ስክሪፕት።,Neutral
ደርግ መልሶ በኢትዮጵያ እያቆጠ ነው… ሜዤር ጀነራል አበ ተሀይማኖት ጆቤ ` ይህቺ ሐገር ግን ወዴት እየሄደች ነው አቶ ገብረዋህድ ,Negative
የፈተናው ግዜ እንደገና ተራዝሟል። መንግሥትን አድምጥ ብላ መክራ ነበር።,Positive
ፌስቡክ ላይ ድንጋይ መወር ቢኖር ኖሮ ዛሬ ፌቡ በደም ተጨማልቃ ትውል ነበር አላውቅ ከትላንቱ የስታዲየም ድባብ በላይ ዛሬ ፌስቡክ ላይ ያየዋቸው አንድ ሁለቶች ይበልጥ ዩአርኤል,Neutral
ምርጥ አጠር ያለች አስገራሚ ታሪክ ከደራሲ በእውቀቱ ስዩም የሴት ጡት እንደሚያሻፍደው በግልፅ ያጫውተናል። ,Positive
ሁላችንም ነጻ ካልወጣን ማንም ነጻ አይወጣም ስለምትለው ዘፈን ይቺ ዘፈን አስቂኝ ዘፈን ነች። ይዘቷና ዘፈኗ የምትዘፈንበት አውድ ደግሞ ይበልጥ አስቂኝ ያደርጋታል። ,Neutral
የተጠቃሚስም ሀሀ ሞጃ ማለት ዲታ ማለት ነው ,Negative
ታዋቂው ደራሲና ጋዜጠኛ ተስፋዬ ገብረአብ የሆነ ጊዜ ስለ ሞጃ ልጆች የሆነ ነገር ፅፎ ነበር። ስፈልጋት ፔጇ የለችም,Neutral
የወያኔ ካድሬ ቄሶች በእየሩሳሌም ሀዘን ላይ ተቀምጠዋል ከአመት በፊት በሊቢያ በታረዱት ወገኖቻችን ስም እየሩሳሌም በሚገኘው ኪዳነምህረት ገዳም የወያኔው,Negative
የተጠቃሚስም ጌታ ይባርክህ ,Positive
ለመዝናኛ አዳም እና ሔዋን ያልነበራቸው የተቀረው የሰው ልጅ ያለው ምንድ ነው እስቲ ገምቱ ,Neutral
ዘንድሮ ህወሓትና ካድሬዎቻቸው እንዲሁም ሚዲያው ቅጥ ያጣ ውሸት በውሸት ሆኑ,Negative
ቃና ቲቪ የረቀ የሰይጣን ስራ ነው ተብሏል ዛራና ቻንድራን የምታይ ሁላ አለቀልሽ ,Negative
በኒ አደም፡ ገንዘብ ሲያጣ ገንዘብ ሲያገኝ ደግሞ,Neutral
ፈታ በሉ ትንሽ,Positive
የቀድሞ የኦሮሚያ ክል ግብርና ቢሮ ኃላፊ አቶ ዘላለም ጀማነህ በሙስና ተጠርጥረው በቁጥር ስር ዋሉ,Positive
 ዋናው ሀሳቡ ነው፡ አንቺ ግን ይሄ ፀረሄትሮሴክሽዋል ጋብቻ አጀንዳሽን አቁሚ፡ ላስት ታይም ዊሜን ሴክሽዋል አትራክሽን ቱ ሜን ኢዝ ኖት ናቹራል የሚል ፕሮፖጋንዳ ስታሰራጪ ነበር፡ ,Negative
 ህም ይሄ የቆሞ ቀሮች ወሬ ነው፡ ዝም በሉ ልጆች አግቡ ውለዱ ብዙ ተባዙ ምድርንም ሙሉ፡,Negative
 የውሸት አቅርቦትህ ስንት በመቶ ቢያድግ ነው,Negative
በህጋዊ መንገድ መብትህን ለማስከበር ጥያቄዎችን ስታቀርብለት አሸባሪ እያለ የሚያባርህን፣ የሚያዋክብህን፣ የሚያስርህንና የሚገልህን መንግስት ተብዬ የማፊያ ቡድን በሌላ መንገድ መታገልህ ልክ አይደለም።,Neutral
የተጠቃሚስም ትክለኛው ቁጥር አይደለም። የሰሜን አፍሪካ ሃገሮችን መቀነስ አለብህ,Positive
ይዳያስፖራ ትግል አመት ሙሉ በውስኪ ደጋፊነት በአሜርካ ውስጥ ትልቅ ንቅናቄ እያድረገ ነው፤ ,Negative
አንዱ ምን አለ ነፍ ፅሁፎች ነበሩኝ በአዲሱ የኮንጲውጠር ህግ ምክንያት ልስታቸው አለመቻሌ የሚያስቆጭ ነው እኔም አልኩ የማንበብ አምሮቴ ደብል ዲጂት ስኮር የሚያደርገው መብራት ስትጠፋ ነው,Negative
አሹቁን ሲያወልቅ ይዟት ውልቅ,Negative
የማያስከ ግጥም ጥላሁን ዛጋ እንዴት ናችሁ ወዳጆች ሰሞኑን በወጣው የኮምፒውተር ህግ ሳቢያ የማያስከ ጽሁፍ ሳሰላስል ቆይቼ ይህቺን ዩአርኤል,Neutral
ፋና እና ሶስቱ ሆስፒታሎች,Positive
ከአስር ዜሮ ያላገኘ እኮ አይቀጠርም በዘመነ ኢህአዴግ ወይ ደሞ ለተጠየከው ጥያቄ የማይዛመድ መልስ መስጠት አለብህ ,Positive
አንዳዴ ሳያስቡት መመሳሰል ሊፈጠር ይችላል አዲስ ዘመን ጋዜጣ ግንቦት ሪፖርተ ጋዜጣ ሰኔ ,Neutral
ለኢሳያስ ወገባቸውን ይዘው ሚከራሩ አንዳድ የሰባዊ መብት ተንቆርቁዋሪ ነን ተብይ መርቲ ጣሳ ቆርሮዎች ሳውዲንና ሌሎች ቲዮክራቲክ ስቴት ክሪቲክስ ናቸው። ያልበላችሁን ለምን ታካላቹ ፎከታሞች ,Negative
 ምን በወጣሽ ከአንቺ በፊት ስንት እግር ከወርች መጠፍነግ እያለበት ,Negative
 ተውንጂ አንትሽምነው እዚህ በየአንድ ፌርማታው ማረፊያ እና መመሰጫ ሽንት ቤቶች ተሰርተውልን የመንግስታችን ውለታማ አፈር አታብላው,Negative
ኩሽ የሚባል ህፃን ሆነን የዱርዬ የሚመስለን ጨዋታ አሁንም እዚህ ከተማ ውስጥ መመልከት ብርቅ ነው መቼም። አ በቅርስነት ብትይዘው አሪፍ ነው ,Negative
ይመቻችሁ አቦ ,Positive
እንዲህ አቡክቶ እሚያበላ ባል ይስጣችሁ,Positive
ህልምና እንግሊዝኛ እንደ ፈቺዉ ነው እስኪ እናንተም ፍቱት ,Neutral
መንገድ ስለሚመረቅ፣ መንገድ ተዘግቷል ልማት ወያኔ ስታይል,Negative
ሞዴል አርሷደር ጠቅላይ ሚኒስትር መለስ ዜናዊ እኝህ ነበሩ,Positive
የቅድስ ጊዮርጊስ ደጋፊዎች በቃኝ እያሉ ማስቀጠላቸው በአቶ አብነት ላይ እንዳሟረቱ ነው የተሰማኝ ለማንኛውም,Neutral
ባይ ዘ ዌይ፣ ሳሚ ማኛ ታስሮ ሸዋ ሮቢት እንደነበር አንድ ተመላሉ ተመላሽ ታሳሪ አጫውቶኛል።,Negative
 ዲፕሎማሲ ቀሽማችሁ እኮ ነው ,Negative
ራስ ዳርጌ ሣህለ ሥላሴ የሸዋው ንጉሥ ሣህለ ሥላሴ ልጅና የ ንጉሥ ኃይለ መለኮት ግማሽ ወንድም እንዲሁም ዳግማዊ ዓፄ ምኒልክ እጎት ነበሩ,Positive
ቀነኒሳ ወደ ሪዮ የሚሄደው የኢትዮጵያ የማራቶን ኦሊምፒክ ቡድን ውስጥ አለመካተቱን በማስመልከት ተቃውሟቸውን እያሰሙ ያሉ ግለሰቦች የኢትዮጵያ አትሌቲክስ ፌዴሬሽን የአትሌቶች አመራረጥ ሂደት ያውቁታል የሚል ተስፋ አለን,Neutral
ከየኛ ፕሬስ ውጭ ሌላ ማን ሊሆን ይችላል,Positive
እጽፋለሁ ገና ጠኔ ቢመታኝም የኮሜት የላይክ ድርቅ አያስቆመኝም ሃሃ,Neutral
ለሙድ ነው እኮ፡ በደጋፊው ጥያቄ መሰረት ቀጥያለሁ ማለቱ አይቀርም,Positive
የሌላ ማለቴ፡ አርፎ ገንዘብ የሚያስገኝለትን ማለቴ ነው።,Neutral
እንዲያው ለፍላጎት ብሎ እንጂ ድካም ነገር ናቸው፣ ሲያስጠሉ ልማታሞች,Neutral
የደረጄ ሐይሌ ካምቦሎጆ የእቃ እቃ ይመስላል። ሪሞቱ የቱ ጋር ነበር ,Neutral
ለቀድሞው ጠሚ መለስ ዜናዊ ከአክሱም ከተማ አስተዳደር የአክሱም ሃውልትን ለማስመለስ ላደረጉት ጥረት ሽልማት ተበረከተላቸው።,Positive
መለስ መገኝት ባለመቻላቸው ዶር ቴድሮስ ሽልማቱን ተቀብለውላቸዋል,Positive
የቴዲ አፍሮ ልጅ ሚካኤል እራሱን ሚኩ አንበሳ ነው ሲል የተነሳው።,Positive
ይቺን ደግሞ አዳምጡ እስኪ ዶክተር ፋንታሁን አበ በሪፖርተ ጋዜጣ ዘገባ ላይ የአር ብክለት መከላያ መሳሪያ ለመስራት ያነሳኝ የአቶ መለስ የኮፕንሃገን ንግር ነው ,Neutral
ቆይ ግን ኢትዮጵያ ውስጥ ማር ረከሰ እንዴ,Positive
እስኪ እንዲህ ልካቸውን ንገሪን አቃጣይሁላ ,Negative
አርበኛ ፕሮፌሰር ብርሃኑ ነጋ እንደዚህ በህዝብ መሃል የህዝብ ልጅነቱን ያሳየ ያስመሰከረ ህዝባዊነት የፍቅር ምልክት መሆኑን ያረጋገጠ ታላቅ ሰዉ ነዉ የወያኔ ባለስልጣናት በህዝብ ዩአርኤል ,Positive
ተወዳጁ ዳኢ ኡስታዝ ሃይደር ከድር በትላናው እለት በደሴ ከተማ በሩቅያ አዳራሽ ያደረገው ዳእዋ ዳውንሎድ አድርገው ያድምጡ ዩአርኤል ዩአርኤል ,Positive
መለስ ዜናዊ ስዩም መስፍን ተስማምተዋል,Positive
መልካም ልደት ማሂ,Positive
የሻሸመኔ ከተማ ነዋሪዎች ለህዳሴ ግድብ የሚያደርጉትን ድጋፍ አጠናክረው እንደሚቀጥሉ ገለጹ ለታላቁ የኢትዮጵያ ህዳሴ ግድብ ግንባታ የሚያደርጉትን ድጋፍ አጠናክረው ዩአርኤል ,Neutral
መልካም ልደት የኔ መልካም ,Positive
ወላይታ ድቻ ከ መከላያ ዛሬ  ስታዲየም ። ድቻ ከሁለት ጨዋታ በኋላ ወደ አሸናፊነት ይመለሳል ተብሎ ይጠበቃል ። የድቻው ግብ ጠባቂ ወንድወሰን አሸናፊ በሁለትኛ ,Neutral
ህዝባዊ የሰላም ኮንፍረንስ በጎንደር ከተማ ተጀመረ,Positive
ብሉቱዝ በእጥፍ ተሻሽሎ “ብሉቱዝ ” በሚል ስያሜ ሊመጣ ነው ,Positive
 ወደ ፊንኔስ አትመጪም እናትዬ,Positive
 እንኩዋን ደስ አላችሁ ,Positive
ፍቅር፤ቅናት፤የከፋ የወሲብ ጥማት የነዚህ ፍቅረኞች መሳጭ የ ፍቅር ታሪክ እነሆ ሌሎች አስገራሚ ገጠመኞችን ጨምሮ ዩአርኤል,Negative
ቃላቶች ያጥሩኛል ምን ብዬ ልግለፅሽ እንደው በደፈናው ትመችኛለሽ የተጠቃሚስም ሻ መልካም ልደት,Positive
ጤናማ የሆኑ የመክሰስ ምግቦች በዶር ሆነሊያት ኤፍሬም ቱፈር ማኅደረ ጤና ዩአርኤል,Neutral
ዜና ሲቀጥል ፤ ዛሬ ሰኔ አም ሰኞ ነው። መልካም ቀን,Positive
መልካም የስራ ሳምንት ይሁንል ,Positive
እግዚአብሔር ኢትዮጲያን ይታደጋል,Positive
ባህርዳ ሆይ እናመሰግንሻል እንወድሽማለን,Positive
ኃይልን በሚሰጠኝ ። በክርስቶ ። ሁሉን እችላለዉ ፊል,Positive
እፍረት ይኝታዬን አሳጣኝ ልቤ ለፍቅርህ እያደላ አለ ለካ የሰው ሃረግ ደረት ክንዱ ባለማረግ ፡ ፡,Positive
ጀግናው የኢትዮዽያ መከላያ ሰራዊት ጠላት ወረዳ ድረስ ዘልቆ በመግባት ባደረሰው ጥቃት አንፀባራቂ ድሎችን ተጎናፀፈ። ፎቶለልማት ፎቶለጦርነት ዩአርኤል ,Positive
ተወዳጆቹ የመጀሪያ ሴት የሙዚቃ ተጫዋች ቡድን ቱ እጅግ በጣም አዝናኝ ጫዎታና ገጠመኞቻቸው ከሸገር ኤፍም ዩአርኤል ,Positive
ባለፈው ሳምንት በኖርዌይና በስዊዘርላንድ የተሳካ ሕዝባዊ ስብሰባና የገቢ ማሰባቢያ ፕሮግራም ያካሄዱት ፕሮፌሰር ብርሀኑ ነጋ ትናንት ደግሞ በፍራንክፈርት እጅግ ደማቅ ስብሰባ ዩአርኤል,Positive
የተጠቃሚስም አሜንከንግስቲቷ የበለጠ እድሜ ይስጥሽ,Positive
ቤቶች ድራማ ክፍል በባም አስቂኝ ክፍል ፔፐር ከፍሎ ማሰራት እንዴት እንደሚያዋርድ ይሄን ተጭነው ይከታተሉና እየተማሩ ዘና ,Positive
እንኳ ደስ ያለኝ ፍቅር,Positive
እንዴት ዋልክ አንተ የኔ ስጦታ ሂወቴን የሞላኸው በደስታ,Positive
ለደብረ ብርሃን ዩኒቨርሲቲ የተሰጡ፡ እናመሰግናለን,Positive
መልካም እለተ ሰንበት ♥ ,Positive
የተጠቃሚስም አመሰግናለሁ በጣም ነው የምወደው ይሄን ዘፈን።,Positive
አልሀምዱሊላህ የ ፌስ ቡክ ተከታዮች ቁጥር ሺህ ገባ ዩአርኤል,Neutral
የአፍሪካን የልማት አቅም ለማጠንከር ያለመ ባንክ,Positive
የተቀደሰ ሰንበት ይሁንል ,Positive
ያደረጉት መራ ትግል ፍሬ አፍርቶ ማየታቸው እንዳኮራቸው የኢህዴንብአዴን የቀድሞ ታጋዮች ገለጹ,Positive
ቴዲ አፍሮ ኛ ዓመት የልደት በዓሉን ከወደቁትን አንሱ አረጋውያን ጋር ሊያከብር ነው አንድናቂዎቹ “የኢትዮጵያ ሙዚቃ አብዮተኛ የፍቅር ንጉሥ የፍቅር መልዕከተኛ ወዘተ…” እያሉ,Positive
ተጫዋቾቹ በጥሩ መንፈስ ላይ ናቸው ፤ ለጨዋታውም በሚገባ ተዘጋጅተዋል ዩአርኤል ዩአርኤል,Positive
ዛሬ እለት በጀርመን ፍራንክፈርት ከተማ ሀገር ወዳድ ኢትዮጵያውን በሀገራቸው ጉዳይ ሊመክሩ ብሎም አርበኞች ግንቦት ሰባትን ለመደገፍ ላይ ይገኛሉ። በዝግጅቱ ላይ ታጋይ ፕሮፌሰር,Positive
ንግስትዬ እንኳ አደረሶ ,Positive
ፈጢራ ከድሬ እጅ ያስቆረጥማል። ደግነቱ በማንኪያ ነው የበላሁት እንጂ። መልካም ቀን ,Positive
አሜን አሜን አሜን አሜን ,Positive
አንኳ ለረመዳን አድርሶ ,Positive
ውዷ የዋኋ እህቴ ሳርዬ የተባረከ ሰርግ እና የሰመረ ትዳር እምኝልሻለሁ በአካል ባልኖርም በሀሳብ እና በጸሎት ካንቺ ጋር ነኝ ቅርብ ልብ ከቅርብ አገር ይቀርባል ቅርብ ሀሳብ ከቅርብ አካል ይበልጣ,Positive
ሻይኒንግ ጋር ሻይኒንግ ደግሞ አሪፍ ነው,Negative
የቴምር ህክምናዊ ጥቅሞች በአጭሩ የሆድ ድርቀትን ይከላልይፈውሳል። የተለያየ የአንጀት ችግሮችን ይከላል። ቀላል የማይባል የሀይል ክምችት ስላለዉ ንቁ አና ዩአርኤል,Neutral
ዩአርኤል እጅ ለእጅ መነካት የሚሰጠዉ የፍቅር ደስታ ኢትዮፒካሊንክ ,Positive
ረመዳን የበጎ ስራ መከወኛ ማብዣ ወር ነው፣ በግል ከሚደረጉ በጎ ስራዎች በጋራ መከወናቻው ግብረ መልስ ውጤታቸው እጅጉን የበዛ ነው። ሁላችንም ለበጎ ስራ በጋራ በመልካሙ ወራት ,Positive
ጌታችን ሆይ ለእኔም ለወላቼም ለምእመናንም ሁሉ ምርመራ በሚደረግበት ቀን ማር፡ አሚን ያረበልአለሚን,Positive
እግዚአብሔር ፍቅሩን አብዝቶ ይስጠን ፍቅርያሸንፋል ,Positive
ቆንጆ መሆኔን አውቃለሁ ግን እናንተ ብትነግሩኝ በጣም ደስ ይለኛል,Positive
ባሕላችን ሁሉን ያስውበዋል ። ,Positive
በኦስሎ የዳይመንድሊግ ውድር ኢትዮጵያውን አሸነፉ ,Positive
አላህ ይዘንልህ ዩአርኤል,Positive
የቴምር ህክምናዊ ጥቅሞች በአጭሩ የሆድ ድርቀትን ይከላልይፈውሳል። የተለያየ የአንጀት ችግሮችን ይከላል። ክብደትን ለመጨር ይረዳል። ጤናማ ልብ ,Positive
በኖርዌይ ኦስሎ ከተማ የአርበኞች ግንቦት ታላቅ ህዝባዊ ስብባ እና የገቢማሰባስቢያ ዝግጅት በተሳካ ሁኔታ ተካሄደ ,Neutral
እንደ ማስቲካ ታኝከን እንድንጣል ኣንፈልግም።,Neutral
የዶክተር ዐብይ መንግሥት ይህ ሁሉ እልቂት፣ የሕዝብ መፈናቀል፣ አለመረጋጋት...ሲደርስ አንድ ጥይት ላለመተኮስ ትግዕስትን መርጦ ቆይቷል።,Neutral
ስለዚህ ወያነ ከሃይማኖታችን እጁን ካላነሳ እኛ እንበቃዋለንና እጃችሁ ኣንሱልን።,Negative
እፍሬም ተብዬው አፍህን በትከፍተው,Negative
ድል ለመላው ህዝብ በወያኔ ግፍ ለሚሰቃዩት ሁሉ።,Neutral
ማረምያ ቤቱ ለምን ተሰራ ታድያ,Neutral
